Date,Symbol,Series,Prev_Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
8/25/2004,TCS,EQ,850,1199,1199,979,985,988,1008,17116372,1725876095745000,5206360,30.42%
8/26/2004,TCS,EQ,988,992,997,975,977,979,986,5055400,498286476730000,1294899,25.61%
8/27/2004,TCS,EQ,979,982,982,959,961,963,970,3830750,371558603080000,976527,25.49%
8/30/2004,TCS,EQ,963,970,990,965,986,987,983,3058151,300510633990000,701664,22.94%
8/31/2004,TCS,EQ,987,987,990,976,988,988,982,2649332,260213265065000,695234,26.24%
9/1/2004,TCS,EQ,988,990,995,984,986,988,990,2491943,246623557694999,790586,31.73%
9/2/2004,TCS,EQ,988,990,1005,986,994,994,997,2669544,266142619640000,501792,18.80%
9/3/2004,TCS,EQ,994,1006,1100,990,999,998,997,1233732,122991693990000,235508,19.09%
9/6/2004,TCS,EQ,998,1040,1040,993,997,995,999,1129834,112855395175000,430184,38.07%
9/7/2004,TCS,EQ,995,1035,1035,995,995,996,997,721529,71961091360000,198212,27.47%
9/8/2004,TCS,EQ,996,996,1001,991,992,994,995,824248,82036168250000,220195,26.71%
9/9/2004,TCS,EQ,994,997,998,978,980,980,985,993398,97865742605000,364189,36.66%
9/10/2004,TCS,EQ,980,990,990,976,990,989,985,801884,78995066425000,203388,25.36%
9/13/2004,TCS,EQ,989,991,1016,991,1003,1004,1007,2613114,263222057075000,735865,28.16%
9/14/2004,TCS,EQ,1004,1005,1019,1003,1016,1016,1013,1916934,194176341765000,493998,25.77%
9/15/2004,TCS,EQ,1016,1018,1020,1001,1005,1006,1009,1498536,151220835185000,483466,32.26%
9/16/2004,TCS,EQ,1006,1007,1015,1003,1011,1008,1010,919778,92880625155000,240651,26.16%
9/17/2004,TCS,EQ,1008,1012,1030,1010,1030,1025,1021,1828487,186704728600000,538239,29.44%
9/20/2004,TCS,EQ,1025,1032,1037,1020,1023,1023,1029,1069028,109984353400000,305251,28.55%
9/21/2004,TCS,EQ,1023,1025,1049,1022,1047,1046,1040,1737135,180582247935000,413801,23.82%
9/22/2004,TCS,EQ,1046,1048,1056,1037,1050,1052,1048,1921448,201285707725000,443693,23.09%
9/23/2004,TCS,EQ,1052,1048,1049,1027,1028,1030,1038,1977460,205219984925000,846586,42.81%
9/24/2004,TCS,EQ,1030,1029,1040,1026,1028,1029,1034,1010401,104469291485000,218183,21.59%
9/27/2004,TCS,EQ,1029,1028,1033,1015,1019,1021,1022,1028689,105176792875000,299518,29.12%
9/28/2004,TCS,EQ,1021,1016,1027,1013,1016,1016,1021,792427,80892486505000,205152,25.89%
9/29/2004,TCS,EQ,1016,1019,1033,1016,1031,1031,1025,1467147,150325381695000,504626,34.40%
9/30/2004,TCS,EQ,1031,1036,1041,1021,1025,1027,1033,1565179,161639741775000,585075,37.38%
10/1/2004,TCS,EQ,1027,1029,1056,1026,1049,1048,1044,1371111,143086157380000,502221,36.63%
10/4/2004,TCS,EQ,1048,1057,1081,1054,1079,1077,1072,1891228,202718607370000,790442,41.80%
10/5/2004,TCS,EQ,1077,1080,1089,1076,1077,1081,1083,1792661,194224809145000,532812,29.72%
10/6/2004,TCS,EQ,1081,1081,1103,1075,1082,1082,1090,2208833,240781336490000,701623,31.76%
10/7/2004,TCS,EQ,1082,1083,1100,1083,1100,1097,1093,1260016,137743728184999,403582,32.03%
10/8/2004,TCS,EQ,1097,1098,1111,1095,1098,1098,1103,1069865,118031920455000,308783,28.86%
10/9/2004,TCS,EQ,1098,1100,1104,1094,1103,1101,1100,258539,28433831260000,89081,34.46%
10/11/2004,TCS,EQ,1101,1100,1112,1085,1090,1089,1099,1166507,128201612955000,459319,39.38%
10/12/2004,TCS,EQ,1089,1110,1115,1078,1080,1084,1093,1950064,213212137190000,520867,26.71%
10/14/2004,TCS,EQ,1084,1103,1124,1088,1118,1116,1108,2403248,266223430965000,677707,28.20%
10/15/2004,TCS,EQ,1116,1122,1141,1117,1128,1126,1129,2224968,251269315030000,621885,27.95%
10/18/2004,TCS,EQ,1126,1134,1142,1125,1134,1137,1136,1711668,194364275515000,705586,41.22%
10/19/2004,TCS,EQ,1137,1140,1149,1136,1143,1143,1142,1470891,168007460140000,650387,44.22%
10/20/2004,TCS,EQ,1143,1145,1150,1129,1134,1133,1142,900854,102840183685000,285336,31.67%
10/21/2004,TCS,EQ,1133,1137,1139,1122,1127,1126,1130,801690,90565295115000,236453,29.49%
10/25/2004,TCS,EQ,1126,1125,1127,1111,1118,1117,1117,1173784,131142909090000,580648,49.47%
10/26/2004,TCS,EQ,1117,1116,1141,1116,1140,1137,1130,866595,97928602810000,256600,29.61%
10/27/2004,TCS,EQ,1137,1142,1148,1135,1141,1140,1142,979707,111924666515000,348753,35.60%
10/28/2004,TCS,EQ,1140,1145,1175,1145,1164,1166,1165,2323927,270731648365000,991023,42.64%
10/29/2004,TCS,EQ,1166,1168,1168,1145,1158,1156,1155,1082722,125069094270000,439476,40.59%
11/1/2004,TCS,EQ,1156,1150,1174,1142,1170,1171,1162,767196,89160867085000,186885,24.36%
11/2/2004,TCS,EQ,1171,1130,1180,1125,1161,1160,1164,1108005,128948494234999,307235,27.73%
11/3/2004,TCS,EQ,1160,1161,1184,1161,1176,1175,1175,1122267,131906110705000,209505,18.67%
11/4/2004,TCS,EQ,1175,1182,1188,1168,1169,1170,1177,819476,96491688635000,267486,32.64%
11/5/2004,TCS,EQ,1170,1174,1180,1160,1166,1165,1166,627981,73218759460000,175100,27.88%
11/8/2004,TCS,EQ,1165,1165,1189,1156,1183,1184,1179,1286466,151729585240000,514975,40.03%
11/9/2004,TCS,EQ,1184,1187,1198,1177,1186,1188,1189,917339,109109843415000,192533,20.99%
11/10/2004,TCS,EQ,1188,1191,1199,1190,1195,1194,1195,716799,85670797885000,200583,27.98%
11/11/2004,TCS,EQ,1194,1199,1203,1191,1196,1196,1198,654391,78419135165000,195824,29.92%
11/12/2004,TCS,EQ,1196,1204,1208,1190,1192,1197,1200,226676,27196554680000,84942,37.47%
11/16/2004,TCS,EQ,1197,1198,1198,1184,1191,1191,1191,500688,59608782345000,200759,40.10%
11/17/2004,TCS,EQ,1191,1192,1210,1192,1207,1205,1205,683492,82359554750000,199449,29.18%
11/18/2004,TCS,EQ,1205,1209,1235,1207,1231,1231,1219,934016,113870512815000,352646,37.76%
